연예인,도서명,저자,출판사,출처,"도서 정보 ""함수 : =GET_ALADIN_API_URL(B29 & "" "" & C29 & "" "" & D29)"")""","도서 이미지(==GET_ALADIN_COVER(B134 & "" "" & C134 & "" "" & D134))","연예인 이미지 ""=GET_COMMONS_IMAGE(A2) 함수 사용""",코멘트
김지원,달과 6펜스,서머싯 몸,민음사,https://www.youtube.com/watch?v=1A-sEcAt1Oc,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=237763&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/23/77/cover500/s692639624_2.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/250327_Kim_Ji_Won_%28%EA%B9%80%EC%A7%80%EC%9B%90%29.png,
김지원,"반고흐, 영혼의 편지",빈센트 반 고흐,예담,https://www.youtube.com/watch?v=1A-sEcAt1Oc,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2919530&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/291/95/cover500/8959133515_1.jpg,,
김지원,"베로니카, 죽기로 결심하다",파울로 코엘료,문학동네,https://www.youtube.com/watch?v=1A-sEcAt1Oc,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=297330172&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/29733/1/cover500/8954687539_1.jpg,,
김채원(르세라핌),그러라 그래,양희은,김영사,https://news.nate.com/view/20231027n17216,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269134980&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/26913/49/cover500/893498497x_1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/240329_Kim_Chae-won_%282%29.jpg,
김채원(르세라핌),말투만 바꿨을 뿐인데,김민성,프로파일러 북스,https://theqoo.net/square/3755688225,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=347626348&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/34762/63/cover500/k252933922_1.jpg,,
김채원(르세라핌),책의 말들,김겨울,유유,https://www.youtube.com/watch?v=Qip1pHyAn1o,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=262449417&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/26244/94/cover500/k442738385_1.jpg,,
김채원(르세라핌),흔들릴 줄 알아야 부러지지 않는다,김정호,달콤북스,https://v.daum.net/v/Gy4xTJWAqo,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323087245&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/32308/72/cover500/k912834956_1.jpg,,
김태리,단어의 사연,백우진,웨일북,https://m.ch.yes24.com/Article/Details/40649,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=177157757&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/17715/77/cover500/k292534920_1.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Kim_Tae-ri_PRADA_BEAUTY_Photo_call_August_2024.png,
김태리,청소년 이해를 위한 심리학,"Pierce J. Howard,Jane Mitchell Howard",학지사,https://youtu.be/QqIAcynhU-I?si=VM4hTATlRituq54X,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=140710418,https://image.aladin.co.kr/product/14071/4/cover500/8999715337_1.jpg,,
김태리,B급 며느리,선호빈,믹스커피,https://youtu.be/QqIAcynhU-I?si=VM4hTATlRituq54X,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=130845677,https://image.aladin.co.kr/product/13084/56/cover500/k852532992_1.jpg,,
김한주(실리카겔),고어 자본주의,사야크 발렌시아,워크룸프레스,https://blog.naver.com/indiepost/223836662121,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=273745812,https://image.aladin.co.kr/product/27374/58/cover500/k862732446_1.jpg,https://i.namu.wiki/i/_O2H9gMJSt5FC3u6xQKGEMBuGMRVyeAlmwbrBLE_4iMjXbsMgbZvJfzqkV7mehtOfr5-MKNOExTP5B0tJQ_NSw.webp,
김한주(실리카겔),나는 앞으로 몇 번의 보름달을 볼 수 있을까,,위즈덤하우스,https://www.instagram.com/p/CzGr92QrNuS/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=319597512,https://image.aladin.co.kr/product/31959/75/cover500/k802833350_3.jpg,,
김한주(실리카겔),복안의 영상,하시모토 시노부,소화,https://www.instagram.com/p/CzGr92QrNuS/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=16363719,https://image.aladin.co.kr/product/1636/37/cover500/8984104353_1.jpg,,
김한주(실리카겔),시간의 각인,안드레이 타르콥스키,곰출판,https://www.instagram.com/p/CzGr92QrNuS/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=27373707,https://image.aladin.co.kr/product/27373/70/cover200/k552732442_2.jpg,,
김한주(실리카겔),아포리즘 철학,조중걸,한권의책,https://www.instagram.com/p/CzGr92QrNuS/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=16549473,https://image.aladin.co.kr/product/1654/94/cover500/8996877700_1.jpg,,
김한주(실리카겔),음악 혐오,파스칼 키냐르,프란츠,https://www.instagram.com/p/CzGr92QrNuS/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=112604730&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/11260/47/cover500/k112531795_2.jpg,,
김혜수,눈의 황홀,명지현,문학과지성사,https://www.elle.co.kr/ellevoice/community/detail/3833,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=100903356,https://image.aladin.co.kr/product/10090/33/cover200/8932029768_1.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/250313_Kim_Hye_Soo_%28%EA%B9%80%ED%98%9C%EC%88%98%29.png,
김혜수,동트기 힘든 긴 밤,쯔진천,한스미디어,https://blog.naver.com/hans_books/223834999240,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=171904187&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/17190/41/cover500/k352534894_2.jpg,,
김혜수,희한한 위로,강세형,수오서재,https://www.instagram.com/p/CFdtx9IsczX/?utm_source=ig_web_copy_link,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=246447504&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/24644/75/cover500/k302631394_1.jpg,,
김혜수,마음챙김의 시,류시화,수오서재,https://www.instagram.com/p/CGeafELsX1N/?utm_source=ig_web_copy_link,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=251080776&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/25108/7/cover500/k842633074_2.jpg,,
김혜수,추락,존 쿳시,,https://www.joongang.co.kr/article/3587138,,,,
김혜수,더 로드,코맥 맥카시,,https://www.joongang.co.kr/article/3587138,,,,
김혜수,최소한의 선의,문유석,,https://news.nate.com/view/20220130n02698,,,,
김혜수,독신의 수난사,,이마고,https://www.newsen.com/news_view.php?uid=202208181341290810,,,,
김혜수,나의 아름다운 이웃,박완서,작가정신,https://www.fntimes.com/html/view.php?ud=20200723083645224255469ec131_18,,,,
김혜윤,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/260116_Kim_Hye-yoon_%28%EA%B9%80%ED%98%9C%EC%9C%A4%29.jpg,
나린(미야오),급류,정대건,민음사,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=307692409&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/30769/24/cover500/8937473402_1.jpg,https://i.namu.wiki/i/_dRymLaRBvH6MkqbJMbPabDwABo6UB3o9DDKjCUBtiZZ87vu-jHvNebK8ZglkhlOMaub2KpTYcFkEbrflJ6JaHVxvs1KjOxWpavIyPH1QqV-P3KNLFsMJT4KAIi9lXieeLGljUa5iVJwFIcJP3hdSQ.webp,
나린(미야오),데미안,헤르만 헤세,민음사,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260084&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/26/0/cover500/s742633278_2.jpg,,
나린(미야오),아가미,구병모,위즈덤하우스,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337280683&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/33728/6/cover500/k282939544_1.jpg,,
나린(미야오),인간 실격,다자이 오사무,민음사,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=491611&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/49/16/cover500/893746103x_3.jpg,,
나린(미야오),쥐돌이와 팬케이크,"나카에 요시오, 우리노 노리코",비룡소,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=556330,https://image.aladin.co.kr/product/55/63/cover500/8949111403_1.jpg,,
나린(미야오),철학은 날씨를 바꾼다,서동욱,김영사,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=331480497&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/33148/4/cover500/8934971355_1.jpg,,
남주혁,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Nam_Joo-hyuk_Signature.png,
